Location,Name,Weights,GICS_Tag
0,交通运输、仓储业,0.9297593412561194,Industrials
0,教育,0.0701146300349314,Consumer Discretionary
0,电力、煤气及水的生产和供应业,0.0001326692387909,Utilities
0,社会服务业,3.90451584662692e-05,Consumer Discretionary
0,金属、非金属,1.4979185269867066e-05,Materials
1,交通运输、仓储业,0.9297639918088464,Industrials
1,教育,0.0701100026249471,Consumer Discretionary
1,电力、煤气及水的生产和供应业,0.0001326580358916,Utilities
1,社会服务业,3.904168034148423e-05,Consumer Discretionary
1,金属、非金属,1.4978346712636965e-05,Materials
2,交通运输、仓储业,0.929753807190514,Industrials
2,教育,0.0701201786781639,Consumer Discretionary
2,电力、煤气及水的生产和供应业,0.000132650937404,Utilities
2,社会服务业,3.904277240914686e-05,Consumer Discretionary
2,金属、非金属,1.497783765795661e-05,Materials
3,交通运输、仓储业,0.9297415980543562,Industrials
3,教育,0.0701323554485117,Consumer Discretionary
3,电力、煤气及水的生产和供应业,0.0001326874692983,Utilities
3,社会服务业,3.903499945585393e-05,Consumer Discretionary
3,金属、非金属,1.498524879269852e-05,Materials
4,交通运输、仓储业,0.9297482024779148,Industrials
4,教育,0.0701257937791385,Consumer Discretionary
4,电力、煤气及水的生产和供应业,0.0001326515681037,Utilities
4,社会服务业,3.9034183434710136e-05,Consumer Discretionary
4,金属、非金属,1.4972985627258515e-05,Materials
