Location,Name,Weights
0,租赁和商务服务业,0.5729438610950415
0,住宿和餐饮业,0.2842934166207524
0,农、林、牧、渔业,0.08126916812703562
0,房地产业,0.061454512861276074
0,卫生和社会工作,5.384850171103721e-05
1,租赁和商务服务业,0.572774403932418
1,住宿和餐饮业,0.2844652584106586
1,农、林、牧、渔业,0.08129103628737226
1,房地产业,0.0614309012669825
1,卫生和社会工作,5.318025421826333e-05
2,租赁和商务服务业,0.5728514048077074
2,住宿和餐饮业,0.28435994014588006
2,农、林、牧、渔业,0.08128349197604794
2,房地产业,0.06146291775726075
2,卫生和社会工作,5.7053724409737183e-05
3,租赁和商务服务业,0.5721201001731928
3,住宿和餐饮业,0.28472024860027256
3,农、林、牧、渔业,0.08229970911907185
3,房地产业,0.06087147391260294
3,建筑业,1.4993258878511755e-06
4,租赁和商务服务业,0.5729179885432849
4,住宿和餐饮业,0.2843910859686829
4,农、林、牧、渔业,0.08125057767402093
4,房地产业,0.06140028591980829
4,卫生和社会工作,5.487931246215854e-05
