"ID","InnerCode","ReportDate","SerialNumber","StockInnerCode","SharesHolding","MarketValue","RatioInNV","InvestType","XGRQ","JSID","InfoPublDate","InfoSource","ChangeOfSharesHolding","TransCode","InsertTime"
"377307157896","12208","31/3/2011 00:00:00","1","4852","1498861","38970386","0.0364","1","28/5/2022 15:14:03","707074143623","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157898","12208","31/3/2011 00:00:00","2","1776","800000","32416000","0.0303","1","28/5/2022 15:14:03","707074143624","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157900","12208","31/3/2011 00:00:00","3","171","699923","30159682.07","0.0282","1","28/5/2022 15:14:03","707074143625","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157902","12208","31/3/2011 00:00:00","4","1432","1000000","24870000","0.0232","1","28/5/2022 15:14:03","707074143626","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157904","12208","31/3/2011 00:00:00","5","6943","650000","22919000","0.0214","1","28/5/2022 15:14:03","707074143627","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157906","12208","31/3/2011 00:00:00","6","9158","3000000","22200000","0.0208","1","28/5/2022 15:14:03","707074143628","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157908","12208","31/3/2011 00:00:00","7","1229","1199948","22187038.52","0.0207","1","28/5/2022 15:14:03","707074143629","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157910","12208","31/3/2011 00:00:00","8","172","799810","22146738.9","0.0207","1","28/5/2022 15:14:03","707074143630","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157912","12208","31/3/2011 00:00:00","9","9783","551311","21749218.95","0.0203","1","28/5/2022 15:14:03","707074143631","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157914","12208","31/3/2011 00:00:00","10","12625","600729","20695114.05","0.0193","1","28/5/2022 15:14:03","707074143632","20/4/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
"377307157916","12208","30/6/2011 00:00:00","1","105","1457840","41227715.2","0.0439","1","28/5/2022 13:18:51","707071953712","21/7/2011 00:00:00","基金季度报告",,"12208","18/3/2022 07:24:33"
